"경기 안산시 상록구 본삼로 39, 인제빌딩 104호",010-8398-8310,상록수점,37.301129423,126.864343194
전남 고흥군 도양읍 녹동신항8길 35-8,061-844-2782,고흥 녹동점,34.527950499,127.144570664
"부산 강서구 신호동 215-15, 110호",051-972-8292,부산 신호점,,
경북 예천군 호명면 산합리 1393,054-655-0007,경북 도청점,,
강원 강릉시 사천면 가둔지길 12,033-643-8529,강릉 사천점,37.828099581,128.878398593
"강원 강릉시 해안로 388, 3층(초당동)",033-652-6668,강릉 경포대점,37.79685612,128.912360696
"경남 창원시 진해구 냉천남로 3-10, 자은스퀘어 103호",055-551-0103,진해 자은점,35.155247152,128.714066562
경기 용인시 처인구 포곡읍 포곡로124번길 11,031-322-2208,용인 둔전점,37.269663358,127.219962292
"충북 음성군 금왕읍 탑골길 18, 104호",043-882-6690,음성 금왕점,36.989491963,127.58533021
부산 사하구 하단동 489-21,051-715-7192,부산 하단점,,
전남 보성군 보성읍 현충로 92-7,061-852-8892,전남 보성점,34.767628887,127.082214796
"서울 성북구 하월곡동 81-294, 2층",02-6052-7969,서울 월곡점,,
경기 고양시 일산동구 장항동 731-2 남정씨티프라자7차 107호,031-925-3345,일산 라페스타점,,
강원 속초시 수복로 85,033-636-5892,속초 교동점,38.199851715,128.578579003
경남 양산시 덕계동 1577 상가동 101호,055-365-8885,양산 덕계점,,
경북 포항시 북구 우창로 166-1 메트로시티2단지상가 103호,054-253-4988,포항 창포점,36.066454165,129.366261171
"대전 동구 가오동 354, 1층",042-272-9992,대전 가오점,,
부산 북구 덕천동 393-20,051-337-8088,부산 덕천점,,
전남 해남군 해남읍 해리 407-4,061-536-3399,전남 해남점,,
충남 아산시 음봉면 음봉로 672,041-531-3139,아산 1호점,36.834306206,127.082445245
"경기 파주시 목동동 937-2, 202호",휴업중,파주 산내점,,
제주특별자치도 제주시 삼도일동 546-32,064-702-9292,제주1호점,,
충남 당진시 대덕동 1643,041-358-7292,충남 당진점,,
경기 남양주시 진접읍 장현리 44-12,031-572-9211,남양주 진접점,,
전남 구례군 구례읍 중앙로7,061-783-9993,전남 구례점,35.206261713,127.467718074
경기 포천시 신읍동 315-5,031-535-9249,경기 포천점,,
대구 북구 동천동 919-7,053-324-9400,대구 동천점,,
"대구광역시 달서구 용산동 465-4, 1층",053-593-8885,대구 용산점,,
인천광역시 부평구 동수로 80(부평동 995),032-508-9282,인천 부평점,37.484255564,126.727119353
